City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Sinnamary,GF,5.3833,-52.95,79.32,82,37,10.69,scattered clouds
198,Cayenne,GF,4.9333,-52.3333,80.64,78,20,4.61,few clouds
199,Gigmoto,PH,13.7796,124.39,79.88,89,100,9.51,overcast clouds
200,Hay River,CA,60.8156,-115.7999,21.16,68,40,10.36,scattered clouds
201,Katherine,AU,-14.4667,132.2667,80.92,69,38,1.14,scattered clouds
202,Ancud,CL,-41.8697,-73.8203,55.24,96,100,4.21,light rain
203,Te Anau,NZ,-45.4167,167.7167,55.62,91,100,1.7,overcast clouds
204,Pudozh,RU,61.8099,36.5345,19.33,80,25,4.07,scattered clouds
205,Kamaishi,JP,39.2667,141.8833,44.13,52,0,3.18,clear sky
206,Hasaki,JP,35.7333,140.8333,54.21,59,96,12.55,overcast clouds
207,Yar-Sale,RU,66.8333,70.8333,17.04,84,96,23.24,overcast clouds
208,Umm Lajj,SA,25.0213,37.2685,73.17,60,100,8.99,overcast clouds
209,San Cristobal,VE,7.7669,-72.225,73.58,95,67,2.64,broken clouds
210,Guhagar,IN,17.4842,73.1929,69.85,47,1,6.53,clear sky
211,Havoysund,NO,70.9963,24.6622,39.43,81,58,8.01,broken clouds
212,Awjilah,LY,29.1081,21.2869,65.79,29,0,12.46,clear sky
213,Oussouye,SN,12.485,-16.5469,80.69,77,96,5.14,overcast clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,81.61,63,20,10.36,few clouds
215,Chuy,UY,-33.6971,-53.4616,66.42,65,93,5.19,overcast clouds
216,Mexico,PH,15.0646,120.7198,80.31,84,99,4.5,moderate rain
217,Broome,US,42.2506,-75.833,33.53,76,100,10.36,overcast clouds
218,Grakhovo,RU,56.0502,51.9676,21.47,88,100,15.48,overcast clouds
219,Empalme,MX,27.9667,-110.8167,84.92,36,0,9.22,clear sky
220,Edd,ER,13.9297,41.6925,82.27,40,0,17.11,clear sky
221,Lethem,GY,3.3803,-59.7968,83.12,64,89,4.83,overcast clouds
222,Halifax,CA,44.6453,-63.5724,37.89,63,75,21.85,broken clouds
223,Katsuura,JP,35.1333,140.3,50.02,66,100,10.74,overcast clouds
224,Gurupa,BR,-1.405,-51.64,82.22,55,67,3.8,broken clouds
225,Georgetown,MY,5.4112,100.3354,82.24,93,20,2.3,few clouds
226,Paamiut,GL,61.994,-49.6678,16.86,68,100,6.46,overcast clouds
227,Guanambi,BR,-14.2233,-42.7814,72.9,78,92,3.98,overcast clouds
228,Srednekolymsk,RU,67.45,153.6833,-21.53,95,89,11.56,overcast clouds
229,Leninsk,RU,48.7119,45.1994,48.04,93,99,11.12,overcast clouds
230,Honiara,SB,-9.4333,159.95,83.64,78,86,4.32,overcast clouds
231,Nelidovo,RU,56.2211,32.7774,22.66,77,86,9.53,overcast clouds
232,Pacific Grove,US,36.6177,-121.9166,66.65,69,0,5.75,clear sky
233,Canyon,US,34.9803,-101.9188,50.85,37,0,9.37,clear sky
234,Rapid City,US,44.0805,-103.231,15.1,75,100,27.63,overcast clouds
235,Asau,RO,46.4333,26.4,33.28,91,83,3.62,broken clouds
236,Heerhugowaard,NL,52.6714,4.8486,48.99,67,99,5.01,overcast clouds
237,Yuryev-Polskiy,RU,56.5,39.6833,21.36,93,100,15.39,light snow
238,Xiamen,CN,24.4798,118.0819,72.25,88,40,4.47,mist
239,Cafelandia,BR,-21.8025,-49.61,78.71,29,0,15.37,clear sky
240,Samarai,PG,-10.6167,150.6667,84.85,73,94,11.88,overcast clouds
241,Ulladulla,AU,-35.35,150.4667,61.52,52,19,7.94,few clouds
242,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,75,7,11.12,clear sky
243,Denpasar,ID,-8.65,115.2167,78.46,94,75,1.14,heavy intensity rain
244,Doha,QA,25.2867,51.5333,78.78,78,0,2.3,clear sky
245,Aksu,CN,41.1231,80.2644,34.9,39,72,3.09,broken clouds
246,Popondetta,PG,-8.7537,148.2534,88.84,57,100,1.83,overcast clouds
247,Alofi,NU,-19.0595,-169.9187,80.49,74,20,8.05,few clouds
248,Polje,BA,43.8806,18.0744,42.04,93,59,5.5,broken clouds
249,Santa Fe,AR,-31.6333,-60.7,88.0,46,0,3.0,light rain
250,Gazli,UZ,40.1333,63.45,48.7,48,98,12.17,overcast clouds
251,Suez,EG,29.9737,32.5263,63.95,61,1,4.76,clear sky
252,Kozan,TR,37.4552,35.8157,58.57,83,97,2.53,overcast clouds
253,Lagos,NG,6.5833,3.75,80.92,84,69,3.98,broken clouds
254,Eyl,SO,7.9803,49.8164,75.56,75,2,10.4,clear sky
255,Carira,BR,-10.3608,-37.7011,73.08,77,26,12.71,scattered clouds
256,Karratha,AU,-20.7377,116.8463,68.72,53,0,17.38,clear sky
257,Porto Novo,BJ,6.4965,2.6036,82.22,82,49,5.64,scattered clouds
258,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,78,33,15.99,scattered clouds
259,Central Point,US,42.376,-122.9164,56.17,46,0,3.44,clear sky
260,Maryborough,AU,-25.5333,152.7,76.53,36,0,3.09,clear sky
261,Zhanakorgan,KZ,43.9098,67.2495,36.99,53,100,6.26,overcast clouds
262,Mahebourg,MU,-20.4081,57.7,68.25,88,20,6.91,few clouds
263,Buraydah,SA,26.326,43.975,66.65,53,100,13.0,overcast clouds
264,Dolores,AR,-36.3132,-57.6792,62.01,89,95,10.07,overcast clouds
265,Digha,IN,21.6833,87.55,65.62,59,1,9.95,clear sky
266,Pisco,PE,-13.7,-76.2167,66.25,77,0,18.41,clear sky
267,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,100,4.61,overcast clouds
268,Owando,CG,-0.4819,15.8999,70.61,91,89,2.13,overcast clouds
269,Luang Prabang,LA,19.8856,102.1347,67.78,99,30,1.14,scattered clouds
270,Lardos,GR,36.0942,28.0157,66.02,72,74,12.53,broken clouds
271,Iqaluit,CA,63.7506,-68.5145,8.33,78,100,10.36,light snow
272,Berezovka,BY,53.7214,25.4993,27.48,92,100,5.46,overcast clouds
273,Robertsport,LR,6.7533,-11.3686,79.66,80,76,3.53,broken clouds
274,Filipeni,RO,46.5333,27.1833,34.61,87,99,4.12,overcast clouds
275,Kangaatsiaq,GL,68.3065,-53.4641,21.99,82,100,4.88,overcast clouds
276,Coihaique,CL,-45.5752,-72.0662,57.81,82,75,5.75,light intensity shower rain
277,Igarka,RU,67.4667,86.5833,5.59,95,100,21.97,snow
278,Opuwo,NA,-18.0607,13.84,70.38,52,34,4.74,scattered clouds
279,Stony Plain,CA,53.5334,-114.0021,15.55,74,98,1.99,overcast clouds
280,Coquimbo,CL,-29.9533,-71.3436,60.53,82,20,11.5,few clouds
281,Sumbe,AO,-11.2061,13.8437,74.98,85,76,4.65,light rain
282,Taltal,CL,-25.4,-70.4833,64.76,85,51,5.79,broken clouds
283,Jonkoping,SE,57.7814,14.1562,38.39,100,75,10.36,broken clouds
284,Bull Savanna,JM,17.8868,-77.5902,77.59,82,74,5.19,broken clouds
285,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,10.36,overcast clouds
286,Crossville,US,35.949,-85.0269,33.94,59,0,3.44,clear sky
287,Bengkulu,ID,-3.8004,102.2655,75.24,86,96,6.08,overcast clouds
288,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,94,20,9.44,few clouds
289,Kansanshi,ZM,-12.0951,26.4273,60.42,91,8,1.1,clear sky
290,Kibre Mengist,ET,5.8833,38.9833,53.28,82,8,3.04,clear sky
291,Adrar,MR,20.5022,-10.0711,70.92,15,0,8.68,clear sky
292,Trairi,BR,-3.2778,-39.2689,79.3,77,8,12.12,clear sky
293,North Bend,US,43.4065,-124.2243,54.25,79,20,4.61,few clouds
294,Tsuruoka,JP,38.7217,139.8217,37.44,93,75,8.05,broken clouds
295,Sumkino,RU,58.1108,68.3244,-11.09,99,14,3.94,few clouds
296,Sembabule,UG,-0.0772,31.4567,63.95,93,100,3.02,light rain
297,Alice Springs,AU,-23.7,133.8833,74.75,60,100,12.66,overcast clouds
298,Port Blair,IN,11.6667,92.75,78.44,85,100,6.15,overcast clouds
299,Porto Santo,PT,33.072,-16.3415,68.38,77,40,8.05,scattered clouds
300,Mongo,TD,12.1844,18.693,75.36,25,4,6.4,clear sky
301,Kochubey,RU,44.3861,46.5825,47.01,93,32,8.66,scattered clouds
302,Grindavik,IS,63.8424,-22.4338,45.07,81,20,10.36,few clouds
303,Hwange,ZW,-18.3693,26.5019,76.64,34,0,4.12,clear sky
304,Bubaque,GW,11.2833,-15.8333,83.17,75,100,11.01,overcast clouds
305,Lotofaga,WS,-13.9764,-171.8578,85.78,75,92,6.4,light rain
306,Samarskoye,RU,46.9336,39.6814,52.84,68,100,25.84,light rain
307,Thio,NC,-21.6167,166.2167,84.16,66,100,2.77,overcast clouds
308,Yaan,NG,7.3833,8.5667,78.75,48,74,5.75,broken clouds
309,Baruun-Urt,MN,46.6806,113.2792,27.61,47,100,5.06,overcast clouds
310,Preston,GB,53.7667,-2.7167,51.33,94,100,10.78,overcast clouds
311,Gari,RU,59.4307,62.3497,3.06,87,5,8.14,clear sky
312,Brae,GB,60.3964,-1.353,44.78,67,100,34.27,overcast clouds
313,Teguise,ES,29.0605,-13.564,64.62,83,20,3.44,few clouds
314,Boquira,BR,-12.8231,-42.7306,68.13,98,100,2.77,overcast clouds
315,Kisangani,CD,0.5167,25.2,68.52,99,87,0.49,overcast clouds
316,Mildura,AU,-34.2,142.15,70.07,53,7,11.39,clear sky
317,Norman Wells,CA,65.282,-126.8329,-0.36,85,40,3.44,scattered clouds
318,Sibolga,ID,1.7427,98.7792,74.35,88,100,2.82,heavy intensity rain
319,Kondoa,TZ,-4.9,35.7833,64.83,82,100,4.47,moderate rain
320,Abu Samrah,SY,35.3029,37.1841,56.88,83,11,7.43,few clouds
